particle,kinetic_energy_mev,angle_deg,threshold_mip,threshold_mev,events,successes,response_probability,wilson95_low,wilson95_high,include_steel
e-,30.0,40.0,0.25,0.89463,3000,2959,0.9863333333333333,0.9815131063863631,0.9899096667534697,True
e-,100.0,40.0,0.25,0.89463,3000,2996,0.9986666666666667,0.9965765205209367,0.9994813743503383,True
e-,300.0,40.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e-,1000.0,40.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,3000.0,40.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,10000.0,40.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,60.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,60.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,60.0,0.25,0.89463,3000,381,0.127,0.1155600153108971,0.13939400583819606,True
e-,10.0,60.0,0.25,0.89463,3000,2304,0.768,0.7525583409195513,0.782756196163674,True
e-,30.0,60.0,0.25,0.89463,3000,2915,0.9716666666666667,0.9650993121653202,0.9770276405371223,True
e-,100.0,60.0,0.25,0.89463,3000,2990,0.9966666666666667,0.9938746440277139,0.9981883662384624,True
e-,300.0,60.0,0.25,0.89463,3000,2997,0.999,0.9970638561911638,0.9996598527809608,True
e-,1000.0,60.0,0.25,0.89463,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e-,3000.0,60.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e-,10000.0,60.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,70.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,70.0,0.25,0.89463,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,70.0,0.25,0.89463,3000,192,0.064,0.055787227577051686,0.07332792851143254,True
e-,10.0,70.0,0.25,0.89463,3000,1745,0.5816666666666667,0.5639215392049617,0.599202915503235,True
e-,30.0,70.0,0.25,0.89463,3000,2759,0.9196666666666666,0.9093950271741332,0.9288649257957432,True
e-,100.0,70.0,0.25,0.89463,3000,2966,0.9886666666666667,0.9842050842176286,0.991878387628153,True
e-,300.0,70.0,0.25,0.89463,3000,2992,0.9973333333333333,0.9947465032080693,0.9986481352598064,True
e-,1000.0,70.0,0.25,0.89463,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e-,3000.0,70.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,10000.0,70.0,0.25,0.89463,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,0.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,0.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,0.0,0.5,1.78926,3000,278,0.09266666666666666,0.08280508045768813,0.10357008830387741,True
e-,10.0,0.0,0.5,1.78926,3000,2904,0.968,0.9610791715504907,0.9737238260426042,True
e-,30.0,0.0,0.5,1.78926,3000,2974,0.9913333333333333,0.9873312537039419,0.9940787309486377,True
e-,100.0,0.0,0.5,1.78926,3000,2996,0.9986666666666667,0.9965765205209367,0.9994813743503383,True
e-,300.0,0.0,0.5,1.78926,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e-,1000.0,0.0,0.5,1.78926,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e-,3000.0,0.0,0.5,1.78926,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,10000.0,0.0,0.5,1.78926,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e-,0.5,20.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e-,1.0,20.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e-,3.0,20.0,0.5,1.78926,3000,177,0.059,0.051118946111304464,0.06800899846443303,True
e-,10.0,20.0,0.5,1.78926,3000,2898,0.966,0.9588957805166788,0.9719123324713174,True
e-,30.0,20.0,0.5,1.78926,3000,2960,0.9866666666666667,0.98189564159083,0.9901929456498528,True
